Country,iso,Region
 Cote d'Ivoire  ,civ,Western Afri
 Cameroon       ,cmr,Western Afri
 Dem. Republic C,cod,Western Afri
 Congo          ,cog,Western Afri
 Cape Verde     ,cpv,Western Afri
 Gabon          ,gab,Western Afri
 Ghana          ,gha,Western Afri
 Guinea         ,gin,Western Afri
 Gambia         ,gmb,Western Afri
 Guinea Bissau  ,gnb,Western Afri
 Equatorial Guin,gnq,Western Afri
 Liberia        ,lbr,Western Afri
 Mali           ,mli,Western Afri
 Mauritania     ,mrt,Western Afri
 Niger          ,ner,Western Afri
 Nigeria        ,nga,Western Afri
 Senegal        ,sen,Western Afri
 Sierra Leone   ,sle,Western Afri
 Sao Tome & Prin,stp,Western Afri
 Chad           ,tcd,Western Afri
 Togo           ,tgo,Western Afri
 French Equatori,,Western Afri
 French West Afr,,Western Afri
 Other Africa   ,,Western Afri
 St. Helena     ,,Western Afri
