Country,iso,Region,Notes
 USSR (Former)  ,ukr,Former USSR ,* country splitting
 USSR (Former)  ,,Former USSR ,* country splitting
 USSR (Former)  ,uzb,Former USSR ,* country splitting
 Uzbekistan     ,uzb,Former USSR ,* country splitting
 Vanuatu        ,vut,Oceania     ,
 Venezuela      ,ven,South Americ,
 Vietnam        ,vnm,Southeast As,
 Wake Island    ,,Oceania     ,
 Western Sahara ,esh,Northern Afr,
 Yemen          ,yem,Middle East ,
 Yemen (Former) ,yem,Middle East ,
 Yugoslavia     ,yug,Eastern Euro,
 Zambia         ,zmb,Southern Afr,
 Zanzibar       ,tza,Southern Afr,
 Zimbabwe       ,zwe,Southern Afr,
