Country,iso,Region
 Saudi Arabia   ,sau,Middle East 
 Serbia and Mont,scg,Eastern Euro
 Sudan          ,sdn,Eastern Afri
 Senegal        ,sen,Western Afri
 Singapore      ,sgp,Southeast As
 Solomon Islands,slb,Oceania     
 Sierra Leone   ,sle,Western Afri
 El Salvador    ,slv,Central Amer
 Somalia        ,som,Eastern Afri
 St. Pierre & Mi,spm,USA         
 Sao Tome & Prin,stp,Western Afri
 Suriname       ,sur,South Americ
 Slovak Republic,svk,Eastern Euro
 Slovenia       ,svn,Eastern Euro
 Sweden         ,swe,OECD Europe 
 Swaziland      ,swz,Southern Afr
 Seychelles     ,syc,Eastern Afri
 Syrian Arab Rep,syr,Middle East 
 Turks & Caicos ,tca,Central Amer
 Chad           ,tcd,Western Afri
 Togo           ,tgo,Western Afri
 Thailand       ,tha,Southeast As
 Tajikistan     ,tjk,Former USSR 
 Turkmenistan   ,tkm,Former USSR 
 Tonga          ,ton,Oceania     
 Trinidad & Toba,tto,Central Amer
 Tunisia        ,tun,Northern Afr
 Turkey         ,tur,Middle East 
 Chinese Taipei ,twn,East Asia   
 Tanganyika     ,tza,Southern Afr
 Tanzania       ,tza,Southern Afr
 Zanzibar       ,tza,Southern Afr
 Uganda         ,uga,Eastern Afri
 Ukraine        ,ukr,Former USSR 
 Uruguay        ,ury,South Americ
 USA            ,usa,USA         
 USSR (Former)  ,ussr,Former USSR 
 Uzbekistan     ,uzb,Former USSR 
 St. Vincent & G,vct,Central Amer
 Venezuela      ,ven,South Americ
 British Virgin ,vgb,Central Amer
 U.S. Virgin Isl,vir,Central Amer
 Vietnam        ,vnm,Southeast As
 Vanuatu        ,vut,Oceania     
 Samoa          ,wsm,Oceania     
 Democratic Yeme,yem,Middle East 
 Yemen          ,yem,Middle East 
 Yemen (Former) ,yem,Middle East 
 Yugoslavia     ,yug,Eastern Euro
 South Africa   ,zaf,Southern Afr
 Zambia         ,zmb,Southern Afr
 Zimbabwe       ,zwe,Southern Afr
 Antarctic Fishe,,Oceania     
 French Equatori,,Western Afri
 French Indochin,,Southeast As
 French West Afr,,Western Afri
 Jersey         ,,OECD Europe 
 Monaco         ,,OECD Europe 
 Other Africa   ,,Western Afri
 Other Asia     ,,Southeast As
 Other Latin Ame,,Central Amer
 Pacific Islands,,Oceania     
 Panama Canal Zo,,Central Amer
 Peninsular Mala,,Southeast As
 Rhodesia-Nyasal,,Southern Afr
 S. Africa: Cust,,Southern Afr
 Sabah          ,,Southeast As
 Sarawak        ,,Southeast As
 St. Helena     ,,Western Afri
 United Korea   ,,East Asia   
 Wake Island    ,,Oceania     
