cou_abb,reg_abb,fuel,CON_COMB,PP_EX_WB,PP_EX_OTH,PP_NEW,PP_IGCC,DOM,TRA_RD,TRA_OT,TRA_OTS,IN_BO,IN_OC
CYPR,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,OS2,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
CYPR,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,SUM,0.8,0.15,0.8,0.8,0,1.1,0,0.4,0,0.8,1.7
CZRE,WHOL,BC1,0.22,n.a,0.22,0.22,n.a,0.22,n.a,n.a,n.a,0.22,0.22
CZRE,WHOL,BC2,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
CZRE,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CZRE,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CZRE,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
CZRE,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.95
CZRE,WHOL,OS1,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
CZRE,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,OS2,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
CZRE,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,SUM,0.72,0.15,0.72,0.72,0,0.92,0,0.4,0,0.72,1.62
DENM,WHOL,BC1,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
DENM,WHOL,BC2,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
DENM,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
DENM,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
DENM,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
DENM,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.95
DENM,WHOL,OS1,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
DENM,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,OS2,0,n.a,0,0,n.a,0,n.a,n.a,n.a,0,0
DENM,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,SUM,0.8,0.15,0.8,0.8,0,1,0,0.4,0,0.8,1.7
ESTO,WHOL,BC1,0.7,n.a,0.71,0.71,n.a,0.7,n.a,n.a,n.a,0.7,0.7
ESTO,WHOL,BC2,0.11,n.a,0.11,0.11,n.a,0.11,n.a,n.a,n.a,0.11,0.11
ESTO,WHOL,HC1,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
ESTO,WHOL,HC2,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
ESTO,WHOL,HC3,0.05,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.05
ESTO,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.95
ESTO,WHOL,OS1,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,OS2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,SUM,1.01,0.15,1.02,1.02,0,1.21,0,0.4,0,1.01,1.91
FINL,WHOL,BC1,0.1,n.a,0.1,0.1,n.a,0.1,n.a,n.a,n.a,0.1,0.1
FINL,WHOL,BC2,0.11,n.a,0.11,0.11,n.a,0.11,n.a,n.a,n.a,0.11,0.11
FINL,WHOL,HC1,0.1,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.1,0.1
FINL,WHOL,HC2,0.1,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.1,0.1
FINL,WHOL,HC3,0.1,0.05,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.1,0.1
FINL,WHOL,DC,0.1,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.1,0.77
FINL,WHOL,OS1,0.5,n.a,0.5,0.5,n.a,0.5,n.a,n.a,n.a,0.5,0.5
FINL,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,OS2,0.15,n.a,0.15,0.15,n.a,0.15,n.a,n.a,n.a,0.15,0.15
FINL,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,HF,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,MD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,GSL,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,SUM,1.26,0.15,1.06,1.06,0,1.26,0,0.4,0,1.26,1.93
FRAN,WHOL,BC1,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
FRAN,WHOL,BC2,0.3,n.a,0.3,0.3,n.a,0.3,n.a,n.a,n.a,0.3,0.3
FRAN,WHOL,HC1,0.05,0.02,0.02,0.02,n.a,0.1,n.a,0.1,n.a,0.05,0.66
FRAN,WHOL,HC2,0.05,0.024,0.024,0.024,n.a,0.1,n.a,0.1,n.a,0.05,0.05
FRAN,WHOL,HC3,0.05,0.024,0.024,0.024,n.a,0.1,n.a,0.1,n.a,0.05,0.05
FRAN,WHOL,DC,0.05,n.a,0.05,0.05,n.a,0.1,n.a,0.1,n.a,0.05,0.95
FRAN,WHOL,OS1,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,OS2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
