Sulfur Content,,,,,,,,,,,,,
Pollutant: SO2,,,,,,,,,,,,,
Scenario: TSAP_Consultation_2014_v2 (ID: TSAP_Consultation_2014_v2),,,,,,,,,,,,,
Region: EU-28,,,,,,,,,,,,,
UserID: zig,,,,,,,,,,,,,
Unit: [%],,,,,,,,,,,,,
cou_abb,reg_abb,fuel,CON_COMB,PP_EX_WB,PP_EX_OTH,PP_NEW,PP_IGCC,DOM,TRA_RD,TRA_OT,TRA_OTS,IN_BO,IN_OC
BULG,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,OS2,0.1,n.a,0.1,0.1,n.a,0.1,n.a,n.a,n.a,0.1,0.1
BULG,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,GAS,0,n.a,0,0,n.a,0,0,0,n.a,0,0
BULG,WHOL,HF,3,n.a,2.6,2.6,n.a,2.6,n.a,2.6,2.6,2.6,2.6
BULG,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,MD,0.6,n.a,0.6,0.6,n.a,0.6,0.6,0.6,0.6,0.6,0.6
BULG,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.01,0.01,n.a,0.01,0.01
BULG,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
BULG,WHOL,SUM,12.04,4.5,11.04,11.04,0,10.39,0.61,10.51,3.2,11.64,11.64
CROA,WHOL,BC1,1.4,n.a,2.5,2.5,n.a,1.6,n.a,1.6,n.a,1.4,1.4
CROA,WHOL,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
CROA,WHOL,HC1,1.2,1.2,1.2,1.2,n.a,1.2,n.a,1.2,n.a,1.2,1.2
CROA,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
CROA,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
CROA,WHOL,DC,1,n.a,1,1,n.a,1,n.a,1,n.a,1,1
CROA,WHOL,OS1,0.03,n.a,0.03,0.03,n.a,0.03,n.a,n.a,n.a,0.03,0.03
CROA,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,OS2,0.1,n.a,0.1,0.1,n.a,0.1,n.a,n.a,n.a,0.1,0.1
CROA,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,GAS,0,n.a,0,0,n.a,0,0,0,n.a,0,0
CROA,WHOL,HF,3.5,n.a,3.3,3.3,n.a,2.5,n.a,2.5,2.5,2.5,2.5
CROA,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,MD,0.7,n.a,0.7,0.7,n.a,0.7,0.7,0.7,0.7,0.7,0.7
CROA,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.01,0.01,n.a,0.01,0.01
CROA,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CROA,WHOL,SUM,10.94,3.2,11.84,11.84,0,10.14,0.71,9.01,3.2,9.94,9.94
CYPR,WHOL,BC1,0.6,n.a,0.6,0.6,n.a,0.6,n.a,0.6,n.a,0.6,0.6
CYPR,WHOL,BC2,0.6,n.a,0.6,0.6,n.a,0.6,n.a,n.a,n.a,0.6,0.6
CYPR,WHOL,HC1,1,1,1,1,n.a,1,n.a,1,n.a,1,1
CYPR,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
CYPR,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
CYPR,WHOL,DC,1,n.a,1,1,n.a,1,n.a,1,n.a,1,1
CYPR,WHOL,OS1,0.02,n.a,0.02,0.02,n.a,0.02,n.a,n.a,n.a,0.02,0.02
CYPR,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,OS2,0.1,n.a,0.1,0.1,n.a,0.1,n.a,n.a,n.a,0.1,0.1
CYPR,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,HF,2,n.a,2,2,n.a,2,n.a,2,2,2,2
CYPR,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,MD,1,n.a,1,1,n.a,1,1,1,1,1,1
CYPR,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.01,0.01,n.a,0.01,0.01
CYPR,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CYPR,WHOL,SUM,8.33,3,8.33,8.33,0,8.33,1.01,7.61,3,8.33,8.33
CZRE,WHOL,BC1,0.9,n.a,0.92,0.92,n.a,1.39,n.a,0.7,n.a,0.7,0.7
CZRE,WHOL,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
CZRE,WHOL,HC1,0.7,1,1.05,1.05,n.a,1.11,n.a,0.7,n.a,1.1,1.1
CZRE,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
CZRE,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
CZRE,WHOL,DC,0.8,n.a,0.8,0.8,n.a,0.8,n.a,0.8,n.a,0.8,0.8
CZRE,WHOL,OS1,0.03,n.a,0.03,0.03,n.a,0.03,n.a,n.a,n.a,0.03,0.03
CZRE,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,OS2,0.1,n.a,0.1,0.1,n.a,0.1,n.a,n.a,n.a,0.1,0.1
CZRE,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,HF,3,n.a,2.6,2.6,n.a,2.6,n.a,2.6,2.6,2.24,2.24
CZRE,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,MD,0.6,n.a,0.6,0.6,n.a,0.6,0.6,0.6,0.6,0.6,0.6
CZRE,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.01,0.01,n.a,0.01,0.01
CZRE,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
CZRE,WHOL,SUM,9.14,3,9.11,9.11,0,9.64,0.61,7.41,3.2,8.58,8.58
DENM,WHOL,BC1,0.5,n.a,0.5,0.5,n.a,0.5,n.a,0.5,n.a,0.5,0.5
DENM,WHOL,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
DENM,WHOL,HC1,0.45,0.45,0.45,0.45,n.a,0.45,n.a,0.45,n.a,0.45,0.45
DENM,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
DENM,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
DENM,WHOL,DC,0.8,n.a,0.8,0.8,n.a,0.8,n.a,0.8,n.a,0.8,0.8
DENM,WHOL,OS1,0.027,n.a,0.027,0.027,n.a,0.027,n.a,n.a,n.a,0.027,0.027
DENM,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,OS2,0.05,n.a,0.05,0.05,n.a,n.a,n.a,n.a,n.a,0.05,0.05
DENM,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,HF,3.5,n.a,3.5,3.5,n.a,2,n.a,2,2,3.13,3.13
DENM,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,MD,0.4,n.a,0.4,0.4,n.a,0.4,0.4,0.4,0.48,0.4,0.4
DENM,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.01,0.01,n.a,0.01,0.01
DENM,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
DENM,WHOL,SUM,8.737,2.45,8.737,8.737,0,7.187,0.41,6.16,2.48,8.367,8.367
ESTO,WHOL,BC1,0.39,n.a,1.17,1.17,n.a,0.39,n.a,0.39,n.a,0.39,0.39
ESTO,WHOL,BC2,0.1,n.a,0.1,0.1,n.a,0.1,n.a,n.a,n.a,0.1,0.1
ESTO,WHOL,HC1,1.5,1.5,1.5,1.5,n.a,1.5,n.a,1.5,n.a,1.5,1.5
ESTO,WHOL,HC2,1,1,1,1,n.a,1,n.a,1,n.a,1,1
ESTO,WHOL,HC3,1,1,1,1,n.a,1,n.a,1,n.a,1,1
ESTO,WHOL,DC,0.7,n.a,0.7,0.7,n.a,0.7,n.a,0.7,n.a,2.1,2.1
ESTO,WHOL,OS1,0.01,n.a,0.01,0.01,n.a,0.01,n.a,n.a,n.a,0.01,0.01
ESTO,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,OS2,0.1,n.a,0.4,0.4,n.a,0.1,n.a,n.a,n.a,0.1,0.1
ESTO,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,GAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,HF,1.9,n.a,2.2,2.2,n.a,1.5,n.a,1.5,1.5,2.2,2.2
ESTO,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,MD,0.6,n.a,0.6,0.6,n.a,0.6,0.6,0.6,0.6,0.6,0.6
ESTO,WHOL,GSL,0.1,n.a,0.1,0.1,n.a,0.1,0.1,0.1,n.a,0.1,0.1
ESTO,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
ESTO,WHOL,SUM,7.4,3.5,8.78,8.78,0,7,0.7,6.79,2.1,9.1,9.1
FINL,WHOL,BC1,0.130533333,n.a,0.130533333,0.130533333,n.a,0.1,n.a,0.1,n.a,0.130533333,0.130533333
FINL,WHOL,BC2,0.183,n.a,0.183,0.183,n.a,0.183,n.a,n.a,n.a,0.183,0.183
FINL,WHOL,HC1,0.74,1.123842105,1.123842105,1.123842105,n.a,0.74,n.a,0.74,n.a,0.74,0.74
FINL,WHOL,HC2,1.09,1.09,1.09,1.09,n.a,1.09,n.a,1.09,n.a,1.09,1.09
FINL,WHOL,HC3,0.83,0.83,0.83,0.83,n.a,0.83,n.a,0.83,n.a,0.83,0.83
FINL,WHOL,DC,0.95,n.a,0.95,0.95,n.a,0.95,n.a,0.95,n.a,1.55,1.55
FINL,WHOL,OS1,0.001,n.a,0.001,0.001,n.a,0.001,n.a,n.a,n.a,0.001,0.001
FINL,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,OS2,0.11,n.a,0.1705,0.1705,n.a,0.11,n.a,n.a,n.a,0.056152941,0.11
FINL,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,GAS,0.09,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,0.03,0.04
FINL,WHOL,HF,3,n.a,2.268947917,2.268947917,n.a,2,n.a,3,3,2.268947917,2.268947917
FINL,WHOL,H2,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,MD,0.423,n.a,0.423,0.423,n.a,0.423,0.1,0.1,0.1,0.423,0.423
FINL,WHOL,GSL,0.01,n.a,0.01,0.01,n.a,0.01,0.02,0.02,n.a,0.01,0.01
FINL,WHOL,LPG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FINL,WHOL,SUM,7.557533333,3.043842105,7.180823355,7.180823355,0,6.437,0.12,6.83,3.1,7.312634191,7.37648125
FRAN,WHOL,BC1,3.15,n.a,3.15,3.15,n.a,3.15,n.a,3.15,n.a,3.15,3.15
FRAN,WHOL,BC2,1,n.a,1,1,n.a,1,n.a,n.a,n.a,1,1
FRAN,WHOL,HC1,1.62,0.9,0.9,0.9,n.a,0.9,n.a,0.9,n.a,0.9,0.9
FRAN,WHOL,HC2,1,0.8,0.8,0.8,n.a,1,n.a,1,n.a,1,1
FRAN,WHOL,HC3,1,1.2,1.2,1.2,n.a,1,n.a,1,n.a,1,1
FRAN,WHOL,DC,1,n.a,1,1,n.a,1,n.a,1,n.a,1,1
FRAN,WHOL,OS1,0.03,n.a,0.03,0.03,n.a,0.03,n.a,n.a,n.a,0.03,0.03
FRAN,WHOL,ARD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,BGS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,BIOG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,BMG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,CHCOA,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,DNG,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,FWD,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,OS2,0.1,n.a,0.1,0.1,n.a,0.1,n.a,n.a,n.a,0.1,0.1
FRAN,WHOL,BLIQ,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,WSFNR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,WSFR,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
FRAN,WHOL,GAS,0.01,n.a,0.01,n.a,n.a,n.a,n.a,n.a,n.a,0.005,0.005
