NUMBER,SOURCE,NAME,COUNTRY,FUEL,CEDS_SECTOR,COMMENT,CEDS_COMMENT
313,Oil and Gas,Paraguana,Venezuela,process,1B2_Fugitive-petr,"Paraguana Refinery Complex, Venezuela, one of the world largest refinery complexes (940,000 bpd)",Cleary a large oil refinery and belongs in 1B2
315,Oil and Gas,Tacoa,Venezuela,,1A1a_Electricity-public,Tacoa,Appears to actually be a heavy oil power plant (http://www.hpi-llc.com/expertise/turnkey-power-plants/epc-projects/tacoa-power-barge) (https://www.industrialfireworld.com/540292/tacoa-venezuela-dec-19-1982)
317,Oil and Gas,Point-a-Pierre,Trinidad,process,,Oil Refinery,No emissions in Trinidad in 1B2 or 1A1bc
323,Oil and Gas,Barrancabermeja,Colombia,process,1A1bc_Other-transformation,Oil Fields and refinery near Barrancabermeja,No emissions in columbia in 1B2
329,Oil and Gas,Singapore,Singapore,process,1B2_Fugitive-petr,"Singapore Refining Corporation Refinery, 285000 bbl/day; other sources?",Cleary a large oil refinery and belongs in 1B2
368,Smelter,Noranda,Chile,process,2C4_Non-Ferrous-other-metals,,"Copper, zinc, nickel mines and smelter. More recently alumninum smelting took over. Perhaps for recent years, like OMI years, should be 2C3. However, all emissions in Chile in CEDS are in 2C4, NF metals (https://www.referenceforbusiness.com/history2/44/Noranda-Inc.html)"
397,Smelter,Rudny,Kazakhstan,hard_coal,1A2a_Ind-Comb-Iron-steel,"Rudny Smelter (Iron), Kazakhstan",
406,Oil and Gas,Kirikkale,Turkey,process,1B2_Fugitive-petr,TuriKirikkale refinery,"Located right on top of an oil refinery, though other potential sources in the area. (https://en.wikipedia.org/wiki/T%C3%BCpra%C5%9F_K%C4%B1r%C4%B1kkale_Oil_Refinery) Even though there are little emissions, this is a relativley small source, so give it to 1B2. Note that CEDS may need to update how it  treats 1B2 in Turkey "
419,Oil and Gas,Jubail,Saudi Arabia,process,1B2_Fugitive-petr,Jubail Industrial City (Oil),"Defintley an oil refinery. Also plenty of other sources (power plants, other petrochem plants,...). May warrant multiple sectors to be used in the future"
423,Oil and Gas,Laffan,Qatar,process,1B2_Fugitive-petr,"Laffan gas refinery, other sources",Cleary a large refinery and belongs in 1B2
438,Oil and Gas,Xan,Guatemala,process,1B2_Fugitive-petr,,Oil Fields (https://www.perenco.com/subsidiaries/guatemala) (https://www.offshore-technology.com/marketdata/xan-heavy-oil-field-guatemala/)
438,Oil and Gas,Xan,Guatemala,process,,,No emissions in Guatemala in 1B2
448,Oil and Gas,Zhenhai,China,process,2B_Chemical-industry,Zhenhai Refining & Chemical,"In China, next to no emisisons in 1B2. Lots in 2B_Chem-ind and 1A2c_Ind-Comb-Chemicals. Here default chem processes to 2B"
457,Oil and Gas,Ilva,Italy,process,1B2_Fugitive-petr,Steel plant and oil refinery,"Definitley both steel plant and oil refinery. Good source here, https://www.witpress.com/Secure/elibrary/papers/AIR04/AIR04048FU.pdf. This truly belongs in both 1A2a and 1B2. However, in CEDS in Italy, 1A2a starts to decrease in recent years, so we will attribute here to 1B2 accordingly."
483,Smelter,Qingzhen,China,process,2C3_Aluminum-production,"Multiple sources near Qingzhen. Strong and significant signal, but not sure about the exact source type and location.",Lots of bauxite mines and aluminum processing/smelters in the area. (see here https://www.asianmetal.cn/news/data/2135962/ and https://www.cmgroup.net/news/guizhou-qingzhen-bx-mining-capacity-5-mtpy/)
496,Oil and Gas,Jilin,China,process,2B_Chemical-industry,CNCP (PetroChina) Jilin Chemical Refinery,"In China, next to no emisisons in 1B2. Lots in 2B_Chem-ind and 1A2c_Ind-Comb-Chemicals. Here default chem processes to 2B"
497,Oil and Gas,Jinzhou,China,process,2B_Chemical-industry,CNCP (PetroChina) Jinzhou Petrochemical Refinery,"In China, next to no emisisons in 1B2. Lots in 2B_Chem-ind and 1A2c_Ind-Comb-Chemicals. Here default chem processes to 2B"
524,Oil and Gas,Ulsan,South Korea,process,1B2_Fugitive-petr,,Petrochemical and refinery sources (https://energycities.org/member-cities/ulsan-south-korea) (https://www.argusmedia.com/en/news/2391998-south-koreas-soil-plans-7bn-ulsan-cracker-project)
528,Oil and Gas,Maoming,China,process,2B_Chemical-industry,,"Multiple cement factories, oil farms and other petrochemical complexes in the area. Default to 2B, though could belong in multiple sectors."
529,Oil and Gas,Xiashan,China,process,2B_Chemical-industry,,Multiple chemical/petrochemical plants in the area
533,Oil and Gas,Tabriz,Iran,process,1B2_Fugitive-petr,,"Multiple oil refineries in the area. Raffineria Tabriz, Tabriz Oil Refining Company, Tabriz Petrochemical Company,…"
535,Oil and Gas,Chovar,Iran,process,2B_Chemical-industry,,Petrochemical plant creating mostly HDPE plastics
564,Smelter,Zestafoni,Georgia,heavy_oil,1A2g_Ind-Comb-other,,"Appears to be refrencing mining operation (https://mmi.ge/10247-history-of-development-of-metallurgy-in-georgia.html). In CEDS, mining emissions in Georgia are zero. Instead, they appear in `other`"
565,Smelter,Yangjiazhangzi,China,process,2C3_Aluminum-production,No information,Known for its mines being a major supplier of the worlds Molybdenum
576,Oil and Gas,Sovetabad,Trukmenistan,process,1B2b_Fugitive-NG-prod,,Gas Field (https://scholarship.rice.edu/bitstream/handle/1911/91496/%20international-gas-trade-in-central-asia-turkmenistan-iran-russia-and-afghanistan.pdf?sequence=1)
579,Oil and Gas,Dakhni,Pakistan,process,1B2_Fugitive-petr,Dakhni Oilfield,Oil and Gas Field (https://www.offshore-technology.com/marketdata/dakhni-conventional-gas-field-pakistan/)
584,Smelter,Khouzestan,Iran,natural_gas,1A2a_Ind-Comb-Iron-steel,Steel Factory,"Clearly labeled steel factory, so belongs in 1A2a. However, may consider attributing elsewhere, as Iran has very little emissions in this sector in CEDS."
585,Smelter,Zarand,Iran,natural_gas,1A2a_Ind-Comb-Iron-steel,Steel Factory,"Clearly labeled steel factory, so belongs in 1A2a. However, may consider attributing elsewhere, as Iran has very little emissions in this sector in CEDS."
696,Oil and Gas,Birba Gathering,Oman,process,,,"Production, see https://onepetro.org/SPEMEOS/proceedings-abstract/13MEOS/All-13MEOS/SPE-164332-MS/179074"
759,Oil and Gas,Gujarat,India,process,,Gujarat Refinery,"Refineries, but virtually no emissions in 1B2 or 1Abc in India"
763,Oil and Gas,Rabab Harwell -2,Oman,process,,,"Integrated oil and gas plant, referenced here: https://acp.copernicus.org/preprints/acp-2021-294/acp-2021-294.pdf"
764,Oil and Gas,Kingston,Jamaica,process,,,"Refinery, See https://www.bnamericas.com/en/company-profile/petroleum-corporation-of-jamaica"
772,Oil and Gas,Mamonal,Colombia,process,1A1bc_Other-transformation,,No emissions in columbia in 1B2
773,Oil and Gas,Kochi,India,process,,BPCL Kochi Refinery,"Refineries, but virtually no emissions in 1B2 or 1Abc in India"
803,Oil and Gas,Skhira,Tunisia,,,?,"There is a gas power plant here and a large petrochemical storage facility. According to this source https://www.zenithenergy.ca/operations/tunisia/, ""90% used for energy production, the remaining is flared."""
828,Oil and Gas,Saman-Depe,Turkmenistan,process,1B2b_Fugitive-NG-prod,,"Gas Field https://en.wikipedia.org/wiki/Saman-Depe_Gas_Field#:~:text=Saman%2DDepe%20is%20proven%20to,drilled%20by%20subcontractor%20Sichuan%20Petroleum."
901,Oil and Gas,Cilacap,Indonesia,process,,,Refinery. See https://www.offshore-technology.com/marketdata/cilacap-refinery-indonesia/?cf-view&cf-closed
