"ISO","UN code","Name",1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"AUS",36,"AUSTRALIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,356.200000,348.900000,196.300000,123.600000,159.900000,207.200000,276.200000,323.500000,363.400000,178.100000,338,348.800000,341.600000,279.800000,196.200000,218.100000,348.900000,363.400000,443.400000,508.800000,530.600000,632.400000,610.600000,672.300000,788.700000,944.900000,984.900000,1058,1148,1214,1294,1381,1414,1450,1541,1792,1879,1817,1890,1941,2130,2228,2314,2436,2591,2568,2473,2494,2474,2459,2581,2652,2954,2823,2377,2683,2891,2908,2878,3136,3380,3463,3183,2923,3005,3484,3358,3244,3185,3475,3520,3621,3541,3488,3584,3555,3664,3888,3972,3863,3829,3549,3496,3518,3294,3138,3076,2931,3019,2942,3040,2820,2900,2818,2818,2818
"AUT",40,"AUSTRIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.100000,287.100000,298,149,174.400000,138.100000,152.600000,181.700000,181.700000,210.800000,320,366.900000,403.400000,417.800000,338,381.600000,0,0,192.700000,138.100000,356.200000,537.900000,636,730.600000,686.900000,690.500000,803.200000,919.500000,955.900000,1054,1065,1196,1399,1523,1512,1635,1865,1999,2224,2246,2250,2253,2377,2693,3086,3018,3078,2672,2768,2628,2721,2573,2480,2382,2240,2171,2148,1982,1967,1930,2015,1990,2033,2005,2105,2032,2102,1631,1634,1761,1599,1607,1712,1720,1736,1754,1790,1797,1954,2131,2133,1799,1622,1666,1673,1656,1639,1701,1729,1710,1827,1771,1821,1889,1832,1832,1832
"AZE",31,"AZERBAIJAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.351000,9.093000,11.760000,12.590000,13.270000,10.410000,13.580000,17.250000,22.590000,21.070000,22.010000,22.010000,22.440000,22.470000,,,,7.015000,13.250000,18.750000,25.810000,31.320000,41.190000,48.660000,55.430000,62.830000,74.850000,88.730000,98.230000,114.300000,132,153.900000,180.800000,202.300000,228.300000,243.300000,259.300000,289.400000,320.300000,339.800000,351.300000,360.900000,383.300000,403.500000,419.100000,439.700000,461.900000,489.200000,491.500000,496,489,467.500000,468.800000,473.900000,458.100000,471.800000,476.200000,475.300000,487.300000,491.500000,494.900000,494.100000,478,466.900000,379,294.100000,236.600000,102.500000,120.300000,175.100000,115,104.200000,121,303.700000,471.700000,538.500000,724.100000,742.500000,783.100000,817.200000,770,620.800000,617.400000,465.100000,658.100000,721.800000,924.500000,843.400000,726.200000,928.900000,1083,1096,1018,1081,1119,1119,1119
"BHS",44,"BAHAMAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,338,403.400000,410.700000,410.700000,487,472.500000,392.500000,189,133.200000,35.670000,159,213.500000,221.800000,13.730000,30.580000,10.090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR",48,"BAHRAIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.300000,497.300000,536.500000,553,523.400000,525.100000,424.100000,561.400000,601.800000,473.800000,270.600000,246.400000,286,323.100000,323.100000,323.100000
"BGD",50,"BANGLADESH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,1.778000,2.137000,1.815000,2.231000,2.341000,2.566000,2.842000,2.830000,3.304000,4.586000,4.502000,4.035000,4.802000,5.133000,5.780000,6.141000,6.354000,6.986000,7.475000,8.265000,9.810000,11.130000,10.880000,11.290000,10.470000,13.660000,40.140000,75.200000,67.180000,131.200000,140.300000,131,133.600000,133.100000,121.400000,112.800000,96.700000,83.810000,98.700000,100.600000,97.510000,96.700000,99.730000,78.660000,75.380000,73.200000,71.750000,68.980000,153.700000,229.500000,268.600000,430.900000,704.400000,935.100000,884.600000,835,785.500000,750.600000,700,682,699,699,680,695,675,742.700000,752.500000,1062,1116,1206,1394,1496,1390,1514,1416,1416,1416
"BRB",52,"BARBADOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.180000,109.200000,98.340000,101.600000,91.080000,105.700000,99.120000,99.130000,86.750000,30.740000,38.680000,37.200000,53.070000,85.820000,128.500000,125.500000,133,124,148,153,152,154,152,150,143,113,101,98.350000,77.620000,70.570000,70.570000,70.570000,70.570000,105.900000,105.900000,105.900000,79.390000,105.900000,105.900000,105.900000,105.900000
"BLR",112,"BELARUS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.110000,26.110000,33.780000,36.160000,38.110000,29.890000,38.990000,49.520000,64.870000,60.510000,63.190000,63.200000,64.430000,64.520000,,,,20.140000,38.030000,53.830000,74.120000,89.930000,118.300000,139.700000,159.200000,180.400000,214.900000,254.800000,282.100000,328.300000,378.900000,441.800000,519.200000,580.900000,655.600000,698.700000,744.500000,831.100000,919.600000,975.600000,1009,1036,1101,1144,1173,1214,1258,1314,1301,1294,1256,1182,1167,1160,1103,1116,1106,1084,1091,1079,1064,1040,984.900000,946.800000,908.200000,854,629.700000,562.600000,637.100000,825.400000,913.800000,885.200000,861.900000,822.200000,981.600000,1164,1301,1466,1572,1617,1808,1874,1970,1966,2189,2370,2653,2269,2206,2227,2163,2276,2302,2239,2279,2279,2279
"BEL",56,"BELGIUM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1606,1508,1218,1039,963.100000,937.600000,1087,1163,1486,1508,1261,105.400000,312.500000,250.800000,229,298,319.800000,934,1290,1646,1446,1759,2173,2032,2286,2162,2319,2304,2326,2006,2195,2170,2351,2366,2326,2889,2918,2864,2875,2838,3100,3325,3397,3442,3390,3563,3252,3515,3602,3480,3508,3372,2988,2796,2505,2473,2376,2446,2393,2683,2768,2824,2880,3089,3082,3179,3255,3009,3162,3175,3113,3270,2957,2993,2933,2837,2934,3112,3087,3033,2795,2582,2762,2643,2541,2643,2348,2436,2291,2534,2819,2634,2660,2456,2181,2181
"BLZ",84,"BELIZE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN",204,"BENIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.100000,105.200000,109.100000,100.300000,96.550000,92.810000,89.060000,85.310000,53.710000,64.530000,73.710000,73.710000,73.710000,78.290000,65.140000,80.570000,66.290000,77.140000,0,0,0,0,157.100000,166.300000,212,221.700000,225.700000,212,181.700000,223.400000,242.300000,233.100000,236.600000,213.100000,216,214.300000,210.300000,212.900000,392.300000,403.100000,418.600000,449.700000,465.200000,465.200000,465.200000
"BMU",60,"BERMUDA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTN",64,"BHUTAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.700000,29.700000,57.440000,57.440000,57.450000,57.460000,57.470000,57.470000,57.480000,57.490000,57.500000,57.510000,53.550000,59.500000,69.430000,79.360000,79.370000,74.420000,74.430000,74.440000,79.410000,79.420000,79.430000,84.410000,84.420000,89.400000,89.410000,89.420000,89.430000,99.380000,270.400000,259,283.400000,343.100000,393.300000,467.500000,443.800000,491.100000,462,322.500000,340.800000,313.600000,313.600000,313.600000
"BES",535,"BONAIRE, SAINT EUSTATIUS, AND SABA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIH",70,"BOSNIA & HERZEGOVINA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.820000,0,0,9.703000,7.261000,7.109000,7.314000,8.606000,7.025000,6.692000,7.518000,6.951000,0,,,54.860000,0,1.372000,6.156000,13.110000,12.570000,13.580000,13.610000,12.970000,14.520000,14.570000,15.660000,17.520000,17.280000,22.340000,22.300000,25.190000,27.410000,26.630000,28.890000,32.910000,35.360000,37.240000,39.920000,43.150000,50.880000,54.850000,61.120000,67.340000,77.920000,94.260000,96.650000,100.300000,109.300000,116.400000,130.400000,137.400000,140.900000,129.900000,133.300000,126.400000,119.100000,113.700000,115.400000,112.600000,111.200000,105.800000,98.280000,101,61.270000,60.690000,97.770000,89.670000,58.930000,77.800000,115.500000,114.400000,236.900000,262.900000,337.300000,325,385.100000,367.700000,448,473.400000,521.100000,385.100000,359.800000,337.300000,315,337.300000,321.300000,309,321.700000,348,380.600000,365.300000,430.700000,419.600000,382.500000,382.500000,382.500000
"BWA",72,"BOTSWANA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,96.280000,100.300000,5.737000,5.735000,5.839000,5.812000,5.812000,5.812000,5.812000,0.387500,0,0,0,4.262000,4.262000,4.262000
"BRA",76,"BRAZIL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.610000,47.250000,43.580000,83.590000,72.690000,109,159.900000,181.600000,239.700000,283.500000,305.500000,345.500000,367.100000,378,370.500000,370.500000,399.800000,381.600000,406.800000,450.700000,548.800000,632.100000,686.900000,719.600000,799.400000,1003,1236,1370,1617,1679,1872,1897,2210,2320,2487,2531,2734,2720,2914,3074,3480,3724,4267,4646,5395,6350,7072,7933,9075,10010,11380,11950,12740,12580,12180,9754,8694,9235,11070,11240,11070,11090,11060,11780,9770,10160,10090,11530,13880,15270,16180,16440,16050,15230,14390,13100,13270,14350,15440,17200,18880,19030,21290,22180,24160,25800,25530,23900,21410,20310,20560,20840,23840,25290,24620,25780,26350
"VGB",92,"BRITISH VIRGIN ISLANDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRN",96,"BRUNEI (DARUSSALAM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR",100,"BULGARIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.510000,76.320000,87.220000,50.880000,69.050000,58.240000,58.060000,50.880000,54.510000,65.420000,87.320000,87.310000,0,0,0,0,61.780000,119.900000,0,0,159.900000,0,298.200000,312.400000,334.400000,345.300000,385.200000,399.800000,425.100000,436.100000,461.600000,708.700000,785.100000,865,934,1090,1276,1327,1410,1657,1737,1755,1813,1908,1911,2029,2074,2093,2081,2212,2427,2533,2498,2520,2582,2583,2601,2392,2559,2450,2454,2277,2142,1265,1097,1154,1441,1993,1961,1573,1118,1106,1212,1228,1215,1273,1444,1618,1550,1979,1900,983,807.300000,787.300000,981.300000,891.600000,911.100000,1105,1194,1239,1224,1138,1066,1060,1040,1069,1069
"BFA",854,"BURKINA FASO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,12.220000,12.200000,16.250000,16.220000,72.890000,40.430000,20.130000,12.030000,11.980000,11.940000,11.890000,11.780000,11.620000,180,216.800000,226.400000,225.700000,252,225.800000,156.200000,523.100000,639.400000,697.500000,833.100000,1064,1085,1162,1201,1201,1201
"BDI",108,"BURUNDI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.966000,2.542000,2.542000,2.542000,2.542000
"KHM",116,"CAMBODIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.630000,371.300000,347.500000,370.100000,430.900000,486.700000,507.100000,510.500000,652.900000,1421,2301,3316,5007,5346,5887,6022,6022,6022
"CAN",124,"CANADA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.600000,963,926.700000,799.500000,363.400000,189,272.600000,272.600000,388.900000,483.400000,432.500000,450.700000,592.400000,657.800000,716,574.200000,563.300000,665.100000,908.500000,937.600000,1108,1250,1312,1334,1454,1744,1759,1973,2253,2711,2758,2817,2595,2784,3086,3144,3547,3747,4001,3583,3660,3700,3562,4068,4477,4995,5135,4933,4767,4776,5113,5833,5208,5034,4182,3906,4276,5063,5270,6259,5986,6263,5823,4771,4804,4893,5769,6529,6185,6657,6828,7118,7232,6983,7148,7248,7520,7614,7728,7731,6988,5364,6005,6020,6532,5973,5912,6185,6114,6863,6990,7195,6713,7379,6752,6752,6752
"CPV",132,"CAPE VERDE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.634000,3.634000,3.634000,3.634000,3.634000,7.269000,7.269000,0,0,3.634000,7.269000,7.269000,3.634000,3.634000,7.269000,0,0,0,0,7.022000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAF",140,"CENTRAL AFRICAN REPUBLIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCD",148,"CHAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0.764900,53.530000,70.060000,77.500000,85.250000,96.870000,135.600000,143.400000,158.900000,151.100000,197.600000,232.500000,232.500000,232.500000
