ISO,UN code,Name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUS,36,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,356.2,348.9,196.3,123.6,159.9,207.2,276.2,323.5,363.4,178.1,338,348.8,341.6,279.8,196.2,218.1,348.9,363.4,443.4,508.8,530.6,632.4,610.6,672.3,788.7,944.9,984.9,1058,1148,1214,1294,1381,1414,1450,1541,1792,1879,1817,1890,1941,2130,2228,2314,2436,2591,2568,2473,2494,2474,2459,2581,2652,2954,2823,2377,2683,2891,2908,2878,3136,3380,3463,3183,2923,3005,3484,3358,3244,3185,3475,3520,3621,3541,3488,3584,3555,3664,3888,3972,3863,3829,3549,3496,3518,3294,3138,3076,2931,3019,2942,3040,2820,2900,2900
AUT,40,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.1,287.1,298,149,174.4,138.1,152.6,181.7,181.7,210.8,320,366.9,403.4,417.8,338,381.6,0,0,192.7,138.1,356.2,537.9,636,730.6,686.9,690.5,803.2,919.5,955.9,1054,1065,1196,1399,1523,1512,1635,1865,1999,2224,2246,2250,2253,2377,2693,3086,3018,3078,2672,2768,2628,2721,2573,2480,2382,2240,2171,2148,1982,1967,1930,2015,1990,2033,2005,2105,2032,2102,1631,1634,1761,1599,1607,1712,1720,1736,1754,1790,1797,1954,2131,2133,1799,1622,1666,1673,1656,1639,1701,1729,1710,1827,1771,1821,1889,1889
AZE,31,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.351,9.093,11.76,12.59,13.27,10.41,13.58,17.25,22.59,21.07,22.01,22.01,22.44,22.47,,,,7.015,13.25,18.75,25.81,31.32,41.19,48.66,55.43,62.83,74.85,88.73,98.23,114.3,132,153.9,180.8,202.3,228.3,243.3,259.3,289.4,320.3,339.8,351.3,360.9,383.3,403.5,419.1,439.7,461.9,489.2,491.5,496,489,467.5,468.8,473.9,458.1,471.8,476.2,475.3,487.3,491.5,494.9,494.1,478,466.9,379,294.1,236.6,102.5,120.3,175.1,115,104.2,121,303.7,471.7,538.5,724.1,742.5,783.1,817.2,770,620.8,617.4,465.1,658.1,721.8,924.5,843.4,726.2,928.9,1083,1096,1014,1014,1014
BHS,44,BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,338,403.4,410.7,410.7,487,472.5,392.5,189,133.3,35.73,159.4,214.2,222.8,13.8,30.77,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,48,BAHRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.04,65.23,61.76,62.13,90.45,91.82,91.13,79.18,76.58,68.08,90.32,60.78,34.4,33.72,24.88,47.01,142.4,139.4,141.2,144.8,156.8,251.7,430.2,460,469.5,452.8,454,366.7,485.5,520.4,558.8,234,213,213,213
BGD,50,BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.778,2.137,1.815,2.231,2.341,2.566,2.842,2.83,3.304,4.586,4.502,4.035,4.802,5.133,5.78,6.141,6.354,6.986,7.475,8.265,9.81,11.13,10.88,11.29,10.47,13.66,40.14,75.2,67.18,131.2,140.3,131,133.6,133.1,121.4,112.8,96.7,83.81,98.7,100.6,97.51,96.7,99.73,78.66,75.38,73.2,71.75,68.98,153.7,229.5,268.6,430.9,704.4,935.1,884.6,835,785.5,750.6,700,682,699,699,680,695,675,742.7,752.5,1062,1116,1206,1394,1496,1390,1390,1390
BRB,52,BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.18,109.2,98.34,101.6,91.08,105.7,99.12,99.13,86.75,30.74,38.68,37.2,53.07,85.82,128.5,125.5,133,124,148,153,152,154,152,150,143,113,101,98.35,77.62,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57,70.57
BLR,112,BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.11,26.11,33.78,36.16,38.11,29.89,38.99,49.52,64.87,60.51,63.19,63.2,64.43,64.52,,,,20.14,38.03,53.83,74.12,89.93,118.3,139.7,159.2,180.4,214.9,254.8,282.1,328.3,378.9,441.8,519.2,580.9,655.6,698.7,744.5,831.1,919.6,975.6,1009,1036,1101,1144,1173,1214,1258,1314,1301,1294,1256,1182,1167,1160,1103,1116,1106,1084,1091,1079,1064,1040,984.9,946.8,908.2,854,629.7,562.6,637.1,825.4,913.8,885.2,861.9,822.2,981.6,1164,1301,1466,1572,1617,1808,1874,1970,1966,2189,2370,2653,2269,2206,2227,2163,2276,2302,2239,2239
BEL,56,BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505,1606,1508,1218,1039,963.1,937.6,1087,1163,1486,1508,1261,105.4,312.5,250.8,229,298,319.8,934,1290,1646,1446,1759,2173,2032,2286,2162,2319,2304,2326,2006,2195,2170,2351,2366,2326,2889,2918,2864,2875,2838,3100,3325,3397,3442,3390,3563,3252,3515,3602,3480,3508,3372,2988,2796,2505,2473,2376,2446,2393,2683,2768,2824,2880,3089,3082,3179,3255,3009,3162,3175,3113,3270,2957,2993,2933,2837,2934,3112,3087,3033,2795,2582,2762,2643,2541,2643,2348,2436,2291,2534,2819,2634,2659,2659
BLZ,84,BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEN,204,BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.1,105.2,109.1,100.3,96.55,92.81,89.06,85.31,53.71,64.53,73.71,73.71,73.71,78.29,65.14,80.57,66.29,77.14,0,0,0,0,157.1,166.3,212,221.7,225.7,212,181.7,223.4,242.3,233.1,236.6,213.1,216,214.3,210.3,212.9,392.3,387.6,369,369,369
BMU,60,BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,64,BHUTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.7,29.7,57.44,57.44,57.45,57.46,57.47,57.47,57.48,57.49,57.5,57.51,53.55,59.5,69.43,79.36,79.37,74.42,74.43,74.44,79.41,79.42,79.43,84.41,84.42,89.4,89.41,89.42,89.43,99.38,270.4,259,283.4,343.1,393.3,467.5,443.8,491.1,462,322.5,322.5,322.5
BES,535,"BONAIRE, SAINT EUSTATIUS, AND SABA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,70,BOSNIA & HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82,0,0,9.703,7.261,7.109,7.314,8.606,7.025,6.692,7.518,6.951,0,,,54.86,0,1.372,6.156,13.11,12.57,13.58,13.61,12.97,14.52,14.57,15.66,17.52,17.28,22.34,22.3,25.19,27.41,26.63,28.89,32.91,35.36,37.24,39.92,43.15,50.88,54.85,61.12,67.34,77.92,94.26,96.65,100.3,109.3,116.4,130.4,137.4,140.9,129.9,133.3,126.4,119.1,113.7,115.4,112.6,111.2,105.8,98.28,101,61.27,60.69,97.77,89.67,58.93,77.8,115.5,114.4,236.9,262.9,337.3,325,385.1,367.7,448,473.4,521.1,385.1,359.8,337.3,315,337.3,321.3,309,321.7,348,380.6,365.3,430.7,430.7,430.7
BWA,72,BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,96.28,100.3,5.737,5.735,5.839,5.812,5.812,5.812,5.812,0.3875,0,3.487,3.487,3.487
BRA,76,BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.61,47.25,43.58,83.59,72.69,109,159.9,181.6,239.7,283.5,305.5,345.5,367.1,378,370.5,370.5,399.8,381.6,406.8,450.7,548.8,632.1,686.9,719.6,799.4,1003,1236,1370,1617,1679,1872,1897,2210,2321,2489,2534,2740,2726,2922,3085,3493,3741,4288,4669,5422,6382,7107,7973,9121,10060,11440,12010,12800,12640,12240,9803,8737,9281,11120,11300,11130,11140,11060,11780,9770,10160,10090,11530,13880,15270,16180,16440,16050,15230,14390,13100,13270,14350,15440,17200,18880,19030,21290,22840,25000,26650,26910,25080,22420,20220,20490,21050,23370,24490,24160
VGB,92,BRITISH VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,96,BRUNEI (DARUSSALAM),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,100,BULGARIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.51,76.32,87.22,50.88,69.05,58.24,58.06,50.88,54.51,65.42,87.32,87.31,0,0,0,0,61.78,119.9,0,0,159.9,0,298.2,312.4,334.4,345.3,385.2,399.8,425.1,436.1,461.6,708.7,785.1,865,934,1090,1276,1327,1410,1657,1737,1755,1813,1908,1911,2029,2074,2093,2081,2212,2427,2533,2498,2520,2582,2583,2601,2392,2559,2450,2454,2291,2142,1265,1097,1154,1441,1993,1961,1573,1118,1106,1212,1228,1215,1273,1444,1618,1550,1979,1900,983,807.3,787.3,981.3,891.6,911.1,1105,1194,1239,1224,1138,1066,1060,1060
BFA,854,BURKINA FASO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,12.22,12.2,16.25,16.22,72.89,40.43,20.13,12.03,11.98,11.94,11.89,11.78,11.62,180,216.8,226.4,225.7,252,225.8,156.2,523.1,639.4,697.5,833.1,1064,848.6,848.6,848.6
BDI,108,BURUNDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.966,2.966,2.966
KHM,116,CAMBODIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.63,371.3,347.5,370.1,430.9,486.7,507.1,510.5,652.9,1421,2301,3316,5325,5346,5346,5346
CAN,124,CANADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868.6,963,926.7,799.5,363.4,189,272.6,272.6,388.9,483.4,432.5,450.7,592.4,657.8,716,574.2,563.3,665.1,908.5,937.6,1108,1250,1312,1334,1454,1744,1759,1973,2253,2711,2758,2817,2595,2784,3086,3144,3547,3747,4001,3583,3660,3700,3562,4068,4477,4995,5135,4933,4767,4776,5113,5833,5208,5034,4182,3906,4276,5063,5270,6259,5986,6263,5823,4771,4804,4893,5769,6529,6185,6657,6828,7118,7232,6983,7148,7248,7520,7614,7728,7731,6988,5364,6005,6020,6532,5973,5912,6185,6114,6863,6990,7195,6713,7380,7380
CPV,132,CAPE VERDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3.634,3.634,3.634,3.634,3.634,7.269,7.269,0,0,3.634,7.269,7.269,3.634,3.634,7.269,0,0,0,0,7.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,140,CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCD,148,CHAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0.7649,53.53,70.06,77.5,85.25,96.87,135.6,143.4,158.9,135.6,135.6,135.6
CHL,152,CHILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.57,72.62,79.88,50.88,54.51,69.05,101.7,141.6,123.5,156.3,181.7,167.2,189,178.1,181.6,185.3,178.1,203.5,287.1,298,265.5,243.5,254.4,345.3,403.4,378,381.6,396.1,381.7,359.8,359.8,414.3,414.3,436.1,505.3,577.9,625.1,585.1,675.8,610.4,610.7,708.7,1010,664.1,659.1,643.4,654.9,457,425.5,487,498.9,561.9,642.6,740.1,440.5,478.1,519,517.5,507.6,550.7,633.2,657.7,676,715,871.3,1005,1119,991.8,961.2,945.9,1131,950.8,1010,1013,1079,1113,1194,1152,1236,1316,1307,1081,1046,1080,1128,1086,1022,1033,1120,914.9,730.4,840.5,879.7,879.7,879.7
CHN,156,CHINA (MAINLAND),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.78,76.51,73.45,97.93,79.57,113.2,97.93,156.1,428.5,437.7,9.181,223.4,272.4,495.8,654.9,639.6,489.7,18.36,85.69,174.4,82.64,274.7,586.9,1036,1203,1615,1915,1873,2660,2855,3871,5107,6514,2585,2497,3355,5032,6801,8387,6085,5253,7613,10720,13120,14720,15460,15340,19100,19250,22910,26810,30320,32710,33900,38870,44130,50070,59300,67360,75430,84960,84890,84510,101300,122400,142800,164400,184600,192900,202900,211400,228300,244400,270800,282700,353700,368400,411600,470100,515000,525900,583600,639600,708600,714800,748300,778600,722000,743000,758200,786700,826900,858200,852000,763400
COL,170,COLOMBIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,36.34,36.34,50.81,61.7,69.05,83.59,94.49,105.4,101.8,127.3,138,149.1,163.5,170.8,181.7,236.2,279.8,319.7,345.3,432.5,476.1,516.1,603.5,606.9,606.9,672.2,723.2,788.6,861.3,908.4,970.2,1014,1025,1043,1170,1181,1381,1398,1490,1563,1682,1481,1721,1561,1956,1992,2024,2058,2308,2153,2392,2430,2687,2650,2986,2911,2722,2720,2889,3318,3920,3896,3730,3850,3815,2879,3241,3115,3105,3376,3442,4125,4117,4541,4439,3930,4039,4588,5051,4790,5277,5551,5317,5233,5301,5537,5041,5870,6218
COM,174,COMOROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
