iso,Country_Name,CDIAC
ecu,Ecuador,ECUADOR
egy,Egypt,EGYPT
slv,El Salvador,EL SALVADOR
gnq,Equatorial Guinea,EQUATORIAL GUINEA
eri,Eritrea,ERITREA
est,Estonia,ESTONIA
eth,Ethiopia,ETHIOPIA
fro,Faeroe Islands,FAEROE ISLANDS
flk,Falkland Islands,FALKLAND ISLANDS (MALVINAS)
fsm,Federated States of Micronesia,FEDERATED STATES OF MICRONESIA
fji,Fiji,FIJI
fin,Finland,FINLAND
fra,France,FRANCE (INCLUDING MONACO)
guf,French Guiana,FRENCH GUIANA
pyf,French Polynesia,FRENCH POLYNESIA
gab,Gabon,GABON
gmb,Gambia,GAMBIA
geo,Georgia,GAMBIA
geo,Georgia,GEORGIA
deu,Germany,GERMANY
gha,Ghana,GHANA
gib,Gibraltar,GIBRALTAR
grc,Greece,GREECE
grl,Greenland,GREENLAND
grd,Grenada,GRENADA
glp,Guadeloupe,GUADELOUPE
gtm,Guatemala,GUATEMALA
gin,Guinea,GUINEA
gnb,Guinea-Bissau,GUINEA BISSAU
guy,Guyana,GUYANA
hti,Haiti,HAITI
hnd,Honduras,HONDURAS
hkg,"Hong Kong, China",HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA
hun,Hungary,HUNGARY
isl,Iceland,ICELAND
ind,India,INDIA
idn,Indonesia,INDONESIA
irq,Iraq,IRAQ
irl,Ireland,IRELAND
irn,Islamic Republic of Iran,ISLAMIC REPUBLIC OF IRAN
isr,Israel,ISRAEL
ita,Italy,ITALY (INCLUDING SAN MARINO)
jam,Jamaica,JAMAICA
jpn,Japan,JAPAN
jor,Jordan,JORDAN
kaz,Kazakhstan,KAZAKHSTAN
ken,Kenya,KENYA
kir,Kiribati,KIRIBATI
kwt,Kuwait,KUWAIT
kwt,Kuwait,KUWAITI OIL FIRES
kgz,Kyrgyzstan,KYRGYZSTAN
lao,Laos,LAO PEOPLE S DEMOCRATIC REPUBLIC
lva,Latvia,LATVIA
lbn,Lebanon,LEBANON
lso,Lesotho,LESOTHO
lbr,Liberia,LIBERIA
lby,Libya,LIBYAN ARAB JAMAHIRIYAH
lie,Liechtenstein,LIECHTENSTEIN
ltu,Lithuania,LITHUANIA
lux,Luxembourg,LUXEMBOURG
mac,Macao,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA
mkd,Macedonia,MACEDONIA
mdg,Madagascar,MADAGASCAR
mwi,Malawi,MALAWI
mys,Malaysia,MALAYSIA
mdv,Maldives,MALDIVES
mli,Mali,MALI
mlt,Malta,MALTA
mhl,,MARSHALL ISLANDS
mtq,Martinique,MARTINIQUE
mrt,Mauritania,MAURITANIA
mus,Mauritius,MAURITIUS
mex,Mexico,MEXICO
mng,Mongolia,MONGOLIA
mne,Montenegro,MONTENEGRO
msr,Montserrat,MONTSERRAT
mar,Morocco,MOROCCO
moz,Mozambique,MOZAMBIQUE
mmr,Myanmar (Burma),MYANMAR (FORMERLY BURMA)
nam,Namibia,NAMIBIA
fsm,Nauru,NAURU
npl,Nepal,NEPAL
ant,Netherlands Antilles,NETHERLAND ANTILLES
nld,Netherlands,NETHERLANDS
ncl,New Caledonia,NEW CALEDONIA
nzl,New Zealand,NEW ZEALAND
nic,Nicaragua,NICARAGUA
ner,Niger,NIGER
nga,Nigeria,NIGERIA
niu,Niue,NIUE
nor,Norway,NORWAY
pse,Palestine,OCCUPIED PALESTINIAN TERRITORY
omn,Oman,OMAN
pak,Pakistan,PAKISTAN
plw,Palau,PALAU
pan,Panama,PANAMA
png,Papua New Guinea,PAPUA NEW GUINEA
pry,Paraguay,PARAGUAY
per,Peru,PERU
phl,Philippines,PHILIPPINES
bol,Bolivia,PLURINATIONAL STATE OF BOLIVIA
pol,Poland,POLAND
prt,Portugal,PORTUGAL
qat,Qatar,QATAR
cmr,Cameroon,REPUBLIC OF CAMEROON
kor,Republic of Korea,REPUBLIC OF KOREA
mda,Moldova,REPUBLIC OF MOLDOVA
fra,Reunion islands,REUNION
rou,Romania,ROMANIA
rus,Russia,RUSSIAN FEDERATION
rus,Russia,RUSSIAN FEDERATION
rwa,Rwanda,RWANDA
gbr,Saint Helena,SAINT HELENA
lca,Saint Lucia,SAINT LUCIA
wsm,Samoa,SAMOA
stp,Sao Tome and Principe,SAO TOME & PRINCIPE
sau,Saudi Arabia,SAUDI ARABIA
sen,Senegal,SENEGAL
srb,Serbia,SERBIA
syc,Seychelles,SEYCHELLES
sle,Sierra Leone,SIERRA LEONE
sgp,Singapore,SINGAPORE
svk,Slovakia,SLOVAKIA
svn,Slovenia,SLOVENIA
slb,Soloman Islands,SOLOMON ISLANDS
som,Somalia,SOMALIA
zaf,South Africa,SOUTH AFRICA
esp,Spain,SPAIN
lka,Sri Lanka,SRI LANKA
kna,Saint Kitts and Nevis,ST. KITTS-NEVIS
spm,Saint Pierre and Miquelon,ST. PIERRE & MIQUELON
vct,Saint Vincent And Grenadines,ST. VINCENT & THE GRENADINES
sdn,Sudan,SUDAN
sur,Suriname,SURINAME
swz,Swaziland,SWAZILAND
swe,Sweden,SWEDEN
che,Switzerland,SWITZERLAND
syr,Syria,SYRIAN ARAB REPUBLIC
twn,Chinese Taipei,TAIWAN
tjk,Tajikistan,TAJIKISTAN
tjk,Tajikistan,TAJIKISTAN
tha,Thailand,THAILAND
tls,Timor-Leste,TIMOR-LESTE (FORMERLY EAST TIMOR)
tgo,Togo,TOGO
ton,Tongo,TONGA
tto,Trinidad and Tobago,TRINIDAD AND TOBAGO
tun,Tunisia,TUNISIA
tur,Turkey,TURKEY
tkm,Turkmenistan,TURKMENISTAN
tca,Turks and Caicos Islands,TURKS AND CAICOS ISLANDS
uga,Uganda,UGANDA
ukr,Ukraine,UKRAINE
ukr,Ukraine,UKRAINE
are,United Arab Emirates,UNITED ARAB EMIRATES
gbr,United Kingdom,UNITED KINGDOM
tza,Tanzania,UNITED REPUBLIC OF TANZANIA
tza,Tanzania,UNITED REPUBLIC OF TANZANIA
usa,United States,UNITED STATES OF AMERICA
ury,Uruguay,URUGUAY
uzb,Uzbekistan,UZBEKISTAN
vut,Vanuatu,VANUATU
ven,Venezuela,VENEZUELA
vnm,Vietnam,VIET NAM
wlf,Wallis and Futuna Islands,WALLIS AND FUTUNA ISLANDS
yem,Yemen,YEMEN
zmb,Zambia,ZAMBIA
zwe,Zimbabwe,ZIMBABWE
asm,American Samoa,
blx,Belgium-Luxembourg ,
bih,Bosnia and Herzegovina,
cuw,Curacao,
csk,Czechoslovakia,CZECHOSLOVAKIA
cod,Democratic Republic of Congo,
est,Estonia,
kaz,Kazakhstan,
srb (Kosovo),Kosovo,
srb (Kosovo),Kosovo,
srb (kosovo),Kosovo,
kgz,Kyrgyzstan,
lva,Latvia,
ltu,Lithuania,
mkd,Macedonia,
mda,Moldova,
mda,Moldova,
mne,Montenegro,
pri,Puerto Rico,
reu,Reunion,
srb,Serbia,
scg,Serbia and Montenegro,
sxm,Sint Maarten,
svn,Slovenia,
ssd,South Sudan,
USSR,Soviet Union,
tkl,Tokelau,
tkm,Turkmenistan,
vir,United States Virgin Islands,
uzb,Uzbekistan,
vnm,Vietnam,
esh,Western Sahara,
yug,Yugoslavia,
,,ANTARCTIC FISHERIES
,,CHRISTMAS ISLAND
,,CZECHOSLOVAKIA
,,DEMOCRATIC REPUBLIC OF VIETNAM
,,EAST & WEST PAKISTAN
,,FEDERAL REPUBLIC OF GERMANY
,,FEDERATION OF MALAYA-SINGAPORE
,,FORMER DEMOCRATIC YEMEN
,,FORMER GERMAN DEMOCRATIC REPUBLIC
,,FORMER PANAMA CANAL ZONE
,,FORMER YEMEN
,,FRENCH EQUATORIAL AFRICA
,,FRENCH INDO-CHINA
,,FRENCH WEST AFRICA
,,JAPAN (EXCLUDING THE RUYUKU ISLANDS)
,,KUWAITI OIL FIRES
,,LEEWARD ISLANDS
,,NETHERLAND ANTILLES AND ARUBA
,,PACIFIC ISLANDS (PALAU)
,,PENINSULAR MALAYSIA
,,PUERTO RICO
,,REPUBLIC OF SOUTH VIETNAM
,,RHODESIA-NYASALAND
,,RWANDA-URUNDI
,,RYUKYU ISLANDS
,,SABAH
,,SARAWAK
,,ST. KITTS-NEVIS-ANGUILLA
,,TANGANYIKA
,,UNITED KOREA
,,USSR
,,YUGOSLAVIA (FORMER SOCIALIST FEDERAL REPUBLIC)
,,YUGOSLAVIA (MONTENEGRO & SERBIA)
,,ZANZIBAR
